skill_name,folder_name,source_repo,category,description,file_count,archive_path
alphafold,alphafold,adaptyv,proteomics,>,3,adaptyv/alphafold
bindcraft,bindcraft,adaptyv,biology-other,>,4,adaptyv/bindcraft
binder-design,binder-design,adaptyv,biology-other,>,3,adaptyv/binder-design
binding-characterization,binding-characterization,adaptyv,biology-other,>,1,adaptyv/binding-characterization
boltz,boltz,adaptyv,biology-other,>,1,adaptyv/boltz
boltzgen,boltzgen,adaptyv,biology-other,>,3,adaptyv/boltzgen
campaign-manager,campaign-manager,adaptyv,biology-other,>,1,adaptyv/campaign-manager
cell-free-expression,cell-free-expression,adaptyv,transcriptomics,>,1,adaptyv/cell-free-expression
chai,chai,adaptyv,biology-other,>,3,adaptyv/chai
esm,esm,adaptyv,biology-other,>,1,adaptyv/esm
foldseek,foldseek,adaptyv,proteomics,>,1,adaptyv/foldseek
ipsae,ipsae,adaptyv,biology-other,>,1,adaptyv/ipsae
ligandmpnn,ligandmpnn,adaptyv,protein-design,>,1,adaptyv/ligandmpnn
pdb,pdb,adaptyv,proteomics,>,1,adaptyv/pdb
protein-design-workflow,protein-design-workflow,adaptyv,proteomics,>,4,adaptyv/protein-design-workflow
protein-qc,protein-qc,adaptyv,proteomics,>,6,adaptyv/protein-qc
proteinmpnn,proteinmpnn,adaptyv,proteomics,>,3,adaptyv/proteinmpnn
rfdiffusion,rfdiffusion,adaptyv,protein-design,>,6,adaptyv/rfdiffusion
setup,setup,adaptyv,biology-other,>,1,adaptyv/setup
solublempnn,solublempnn,adaptyv,protein-design,>,1,adaptyv/solublempnn
uniprot,uniprot,adaptyv,database-query,>,1,adaptyv/uniprot
atac-seq,atac-seq,bioclaw,epigenomics,"ATAC-seq processing with assay QC, MACS3 peak calling, consensus peak matrices, differential accessibility, and motif or footprint follow-up.",3,bioclaw/atac-seq
bio-analysis-system,bio-analysis-system,bioclaw,bioinformatics-general,,1,bioclaw/bio-analysis-system
bio-dataset-search,bio-dataset-search,bioclaw,database-query,,1,bioclaw/bio-dataset-search
bio-figure-design,bio-figure-design,bioclaw,visualization,,1,bioclaw/bio-figure-design
bio-human-feedback,bio-human-feedback,bioclaw,biology-other,,1,bioclaw/bio-human-feedback
bio-innovation-check,bio-innovation-check,bioclaw,biology-other,,1,bioclaw/bio-innovation-check
bio-manuscript-pipeline,bio-manuscript-pipeline,bioclaw,workflow,,1,bioclaw/bio-manuscript-pipeline
bio-manuscript-refine,bio-manuscript-refine,bioclaw,biology-other,,1,bioclaw/bio-manuscript-refine
bio-manuscript-text,bio-manuscript-text,bioclaw,biology-other,,1,bioclaw/bio-manuscript-text
bio-metric-system,bio-metric-system,bioclaw,biology-other,,1,bioclaw/bio-metric-system
bio-ppt-generate,bio-ppt-generate,bioclaw,biology-other,,1,bioclaw/bio-ppt-generate
bio-task-system,bio-task-system,bioclaw,biology-other,,1,bioclaw/bio-task-system
bio-tools,bio-tools,bioclaw,database-query,Biology research tools reference. Always available inside agent containers.,5,bioclaw/bio-tools
blast-search,blast-search,bioclaw,proteomics,"Run BLAST sequence similarity searches. Use when the user asks to BLAST a sequence, find similar sequences, identify a gene/protein, or do homology search. Triggers on ""blast"", ""sequence similarity"", ""homology"", ""identify sequence"".",1,bioclaw/blast-search
cell-annotation,cell-annotation,bioclaw,single-cell,"Automated and marker-guided single-cell cell type annotation using CellTypist, marker review, reference transfer, and confidence-aware label curation.",3,bioclaw/cell-annotation
chip-seq,chip-seq,bioclaw,epigenomics,"ChIP-seq peak calling and downstream interpretation with MACS3, signal track export, annotation, motif analysis, and differential binding review.",3,bioclaw/chip-seq
differential-expression,differential-expression,bioclaw,transcriptomics,"Bulk transcriptomics differential expression with count-aware modeling, design validation, contrast handling, thresholded exports, and publication-ready DE figures.",3,bioclaw/differential-expression
metagenomics,metagenomics,bioclaw,genomics,"Shotgun metagenomics workflow with host-depletion-aware QC, taxonomic profiling, functional profiling, AMR follow-up, and reproducible community output tables.",3,bioclaw/metagenomics
proteomics,proteomics,bioclaw,proteomics,"Mass spectrometry proteomics QC, quantification, comparative analysis, and export for DDA, DIA, and protein-level result tables.",3,bioclaw/proteomics
query-alphafold,query-alphafold,bioclaw,proteomics,"Query AlphaFold protein structure predictions. Use when user asks about protein structure, 3D structure, protein folding, or structure prediction. Triggers on ""alphafold"", ""protein structure"", ""3D structure"", ""folding"", ""pLDDT"", ""structure prediction"".",1,bioclaw/query-alphafold
query-clinvar,query-clinvar,bioclaw,genomics,"Query ClinVar for clinical variant significance. Use when user asks about variant pathogenicity, genetic variants, clinical significance, or disease-causing mutations. Triggers on ""clinvar"", ""pathogenic"", ""variant significance"", ""clinical significance"", ""disease variant"", ""mutation pathogenicity"".",1,bioclaw/query-clinvar
query-ensembl,query-ensembl,bioclaw,genomics,"Query Ensembl for genomic data. Use when user asks about gene coordinates, genomic sequences, variants, gene structure, exons, transcripts, or species comparison. Triggers on ""ensembl"", ""gene coordinates"", ""genomic location"", ""exon"", ""transcript"", ""variant location"", ""rsid"", ""rs number"".",1,bioclaw/query-ensembl
query-geo,query-geo,bioclaw,transcriptomics,"Query NCBI GEO for gene expression datasets. Use when user asks about RNA-seq datasets, microarray data, expression data, GEO accessions, or finding public datasets. Triggers on ""geo"", ""gene expression omnibus"", ""expression dataset"", ""RNA-seq dataset"", ""microarray dataset"", ""GSE"", ""GDS"".",1,bioclaw/query-geo
query-interpro,query-interpro,bioclaw,proteomics,"Query InterPro for protein domains and families. Use when user asks about protein domains, functional sites, protein families, domain architecture, or motifs. Triggers on ""interpro"", ""protein domain"", ""domain architecture"", ""protein family"", ""functional site"", ""motif"".",1,bioclaw/query-interpro
query-kegg,query-kegg,bioclaw,pathway,"Query KEGG for biological pathways and gene info. Use when user asks about metabolic pathways, signaling pathways, pathway genes, or KEGG IDs. Triggers on ""kegg"", ""pathway"", ""metabolic pathway"", ""signaling pathway"", ""pathway genes"".",1,bioclaw/query-kegg
query-opentarget,query-opentarget,bioclaw,clinical,"Query OpenTargets for drug targets, disease associations, and therapeutic evidence. Use when user asks about drug targets, disease mechanisms, target validation, or drug-disease associations. Triggers on ""opentarget"", ""drug target"", ""target validation"", ""disease association"", ""therapeutic target"", ""drug for disease"".",1,bioclaw/query-opentarget
query-pdb,query-pdb,bioclaw,proteomics,"Query RCSB PDB for experimental protein structures. Use when user asks about crystal structures, X-ray, cryo-EM, NMR structures, or PDB IDs. Triggers on ""pdb"", ""crystal structure"", ""cryo-em"", ""x-ray structure"", ""protein crystal"", ""experimental structure"".",1,bioclaw/query-pdb
query-reactome,query-reactome,bioclaw,pathway,"Query Reactome for biological pathways and reactions. Use when user asks about signaling cascades, biological processes, pathway diagrams, or reaction details. Triggers on ""reactome"", ""signaling cascade"", ""biological pathway"", ""pathway diagram"", ""reaction mechanism"".",1,bioclaw/query-reactome
query-stringdb,query-stringdb,bioclaw,proteomics,"Query STRING for protein-protein interactions. Use when user asks about protein interactions, interaction networks, binding partners, or interactome. Triggers on ""string"", ""protein interaction"", ""interaction network"", ""binding partners"", ""interactome"", ""PPI"".",1,bioclaw/query-stringdb
query-uniprot,query-uniprot,bioclaw,proteomics,"Query UniProt protein database. Use when user asks about protein sequences, functions, annotations, domains, or protein identifiers. Triggers on ""uniprot"", ""protein function"", ""protein sequence"", ""gene product"", ""protein info"".",1,bioclaw/query-uniprot
report-template,report-template,bioclaw,visualization,"Publication-quality PDF report generation using Typst templates. Produces professional scientific reports with colored section bands, styled tables, figure captions, callout boxes, and page headers/footers.",4,bioclaw/report-template
scrna-preprocessing-clustering,scrna-preprocessing-clustering,bioclaw,single-cell,"Standard scRNA-seq preprocessing and clustering with Scanpy. Use for QC, normalization, HVG selection, PCA, neighbor graph construction, UMAP, Leiden clustering, and export of an analysis-ready AnnData object.",3,bioclaw/scrna-preprocessing-clustering
sds-gel-review,sds-gel-review,bioclaw,transcriptomics,"Review SDS-PAGE or protein purification gel images using DNA sequence, protein sequence, base-pair length, expected protein size, and lane labels. Use when the user wants to judge whether a gel ran well, whether the main band matches the expected product, or whether there may be impurities, degradation, aggregation, or low expression.",1,bioclaw/sds-gel-review
sec-report,sec-report,bioclaw,genomics,"SEC (size-exclusion chromatography) analysis with peak detection, oligomer classification, and publication-quality PDF report generation via Typst templates. Triggers on ""SEC"", ""size exclusion"", ""chromatography"", ""oligomer analysis"", ""protein assembly"", ""SEC report"".",8,bioclaw/sec-report
sequence-analysis,sequence-analysis,bioclaw,proteomics,"Analyze DNA/RNA/protein sequences. Use when the user provides a sequence and asks for analysis, translation, GC content, ORFs, motifs, restriction sites, or primer design. Triggers on ""sequence"", ""translate"", ""GC content"", ""ORF"", ""primer"", ""restriction"", ""complement"", ""reverse complement"".",1,bioclaw/sequence-analysis
skills-hub,skills-hub,bioclaw,workflow,"Browse and install community skills from the BioClaw Skills Hub. Use when a user's task is not covered by built-in skills, or when the user asks about available skills, advanced workflows, or specialized analysis pipelines. Triggers on ""skills hub"", ""more skills"", ""install skill"", ""community skills"", ""find a skill for"".",1,bioclaw/skills-hub
structural-biology,structural-biology,bioclaw,proteomics,"Structure retrieval, confidence-aware AlphaFold DB usage, coordinate download, PAE and pLDDT interpretation, and structure-guided biological annotation.",3,bioclaw/structural-biology
alignment-and-mapping,alignment-and-mapping,bioclaw_hub,genomics,"Workflow for read alignment, sorting, indexing, mapping statistics, and downstream-ready alignment artifacts.",4,bioclaw_hub/core-bioinformatics/alignment-and-mapping
alphafold2-multimer,alphafold2-multimer,bioclaw_hub,proteomics,>,4,bioclaw_hub/protein-design/skills/alphafold2-multimer
alternative-splicing,alternative-splicing,bioclaw_hub,transcriptomics,Workflow for event-level and isoform-level splicing analysis with sashimi-ready outputs and splice QC.,4,bioclaw_hub/transcriptomics/alternative-splicing
binder-design-campaign-manager,binder-design-campaign-manager,bioclaw_hub,proteomics,>,2,bioclaw_hub/protein-design/skills/binder-design-campaign-manager
binder-design-tool-selection,binder-design-tool-selection,bioclaw_hub,proteomics,>,4,bioclaw_hub/protein-design/skills/binder-design-tool-selection
boltz-structure-prediction,boltz-structure-prediction,bioclaw_hub,proteomics,>,2,bioclaw_hub/protein-design/skills/boltz-structure-prediction
bulk-rna-expression,bulk-rna-expression,bioclaw_hub,genomics,"Python-first workflow for bulk RNA-seq expression intake, normalization, sample QC, and downstream-ready matrices.",4,bioclaw_hub/transcriptomics/bulk-rna-expression
